12	Codex Language Specification — Version 1.0.0	All normative requirements for Codex 1.0.0 MUST appear exactly once in this document.
839	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	Numeric arguments in color functions use the real-number subset of the Numeric Value form (§5.4): integers, decimal numbers, exponential numbers, precision-annotated numbers, rational fractions, and `Infinity`/`-Infinity`. Complex and imaginary numbers MUST NOT appear in color function arguments.
848	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	`rgb(...)`/`rgba(...)` and `hsl(...)`/`hsla(...)` MUST accept both modern and legacy syntax. All other color functions MUST use modern syntax only.
869	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If alpha is spelled as a percentage, it MUST be in `[0%,100%]` and is interpreted as `alpha` in `[0,1]`.
870	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If alpha is spelled as a number, it MUST be in `[0,1]` and is interpreted as `alpha` in `[0,1]`.
876	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	Where a hue component is permitted (in `hsl(...)`, `hwb(...)`, `lch(...)`, and `oklch(...)`), hue is a bare numeric angle in degrees. A hue component MUST NOT be spelled as a percentage. Hue values MUST be finite and MUST satisfy `0 <= h < 360`. See §5.7.3 for the general prohibition on clamping, normalization, hue wrapping, and gamut mapping.
882	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$HexColor`: tools MUST decode the hex spelling into a semantic RGBA value with 8-bit components.
887	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$NamedColor`: tools MUST validate that the name is a keyword in Appendix B and compile the semantic value as the corresponding sRGB RGBA value defined by Appendix B.
889	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$RgbColor`: tools MUST parse `rgb(...)`/`rgba(...)` — three RGB components (red, green, blue) and an optional alpha, in modern or legacy syntax — and compile a semantic sRGB value `(r,g,b,alpha)` where each component is in `[0,1]`.
891	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If spelled as a percentage, it MUST be in `[0%,100%]` and is interpreted by dividing by 100.
892	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If spelled as a number, it MUST be in `[0,255]` and is interpreted by dividing by 255.
894	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$HslColor`: tools MUST parse `hsl(...)`/`hsla(...)` — a hue, two percentages, and an optional alpha, in modern or legacy syntax — and compile a semantic HSL value `(h,s,l,alpha)` where:
898	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$HwbColor`: tools MUST parse `hwb(...)` — a hue, two percentages, and an optional alpha, in modern syntax — and compile a semantic HWB value `(h,w,b,alpha)` where:
901	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- Additionally, `w + b` MUST satisfy `<= 1`.
903	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$LabColor`: tools MUST parse `lab(...)` — a percentage, two numbers, and an optional alpha, in modern syntax — and compile a semantic Lab value `(L,a,b,alpha)` where:
906	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- The value MUST additionally satisfy the deterministic conversion validity rule in §5.7.3.
908	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$LchColor`: tools MUST parse `lch(...)` — a percentage, two numbers, and an optional alpha, in modern syntax — and compile a semantic LCH value `(L,C,h,alpha)` where:
910	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `C` MUST be finite and MUST satisfy `C >= 0`.
912	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- The value MUST additionally satisfy the deterministic conversion validity rule in §5.7.3.
914	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$OklabColor`: tools MUST parse `oklab(...)` — three numbers and an optional alpha, in modern syntax — and compile a semantic OKLab value `(L,a,b,alpha)` where:
915	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `L` MUST be in `[0,1]`.
917	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- The value MUST additionally satisfy the deterministic conversion validity rule in §5.7.3.
919	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$OklchColor`: tools MUST parse `oklch(...)` — three numbers and an optional alpha, in modern syntax — and compile a semantic OKLCH value `(L,C,h,alpha)` where:
920	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `L` MUST be in `[0,1]`.
921	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `C` MUST be finite and MUST satisfy `C >= 0`.
923	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- The value MUST additionally satisfy the deterministic conversion validity rule in §5.7.3.
926	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$ColorSpaceColor`: tools MUST parse `color(...)` — a `ColorSpace` token followed by three numeric components and an optional alpha, in modern syntax — and compile a semantic color-space value `(space, c1, c2, c3, alpha)` where:
931	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$DeviceCmyk`: tools MUST parse `device-cmyk(...)` — four CMYK components (each a percentage or number) and an optional alpha, in modern syntax — and compile a semantic device-CMYK value `(c,m,y,k,alpha)` where each of `c,m,y,k,alpha` is in `[0,1]`.
932	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If a CMYK component is spelled as a percentage, it MUST be in `[0%,100%]` and is interpreted as a fraction in `[0,1]`.
933	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If a CMYK component is spelled as a number, it MUST be in `[0,1]`.
935	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$ColorMix`: tools MUST parse `color-mix(...)` per the argument spelling rules above and compile a semantic color-mix value `(space, stops)`.
939	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- The nested `color` value in each stop MUST be semantically valid as `$Color`.
940	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- When a schema expects `$Color` and the spelling is `color-mix(...)`, tools MUST additionally evaluate the mix deterministically as specified by §5.7.7.
943	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$ColorSpaceColorFunction`: tools MUST accept any function-based Color Value spelling and compile the corresponding semantic function-domain value (including `rgb(...)`, `hsl(...)`, `hwb(...)`, `lab(...)`, `lch(...)`, `oklab(...)`, `oklch(...)`, `color(...)`, `color-mix(...)`, relative-color forms, and `device-cmyk(...)`).
944	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If the spelling is a relative color form, tools MUST interpret `from <color>` deterministically as specified by §5.7.8.
945	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- If the spelling is `color-mix(...)`, tools MUST interpret the stop list deterministically as specified by §5.7.7.
947	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	- `$Color`: tools MUST accept any Color Value spelling and compile a semantic color value as follows.
951	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.4 Schema-Directed Semantic Color IR	If a schema expects a specific built-in color ValueType token and the Trait value uses a different Color Value form, schema validation MUST fail with a `SchemaError` (§14).
962	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.5 Deterministic Conversions for `color(...)` Spaces (`XYZ_D65` Interchange)	All arithmetic required by this subsection MUST use the deterministic numeric model of §5.7.3.
964	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.5 Deterministic Conversions for `color(...)` Spaces (`XYZ_D65` Interchange)	All matrix-vector multiplications required by §5.7.5–§5.7.8 MUST use the single mandated dot-product procedure defined by §5.7.3.
1335	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.6 Semantic Interpretation of `color(...)`	When a schema expects a `color(...)` spelling as `$Color` or `$ColorSpaceColorFunction`, tools MUST interpret the components and alpha as follows.
1339	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.6 Semantic Interpretation of `color(...)`	- If a component is spelled as a percentage, it MUST be in `[0%,100%]` and is interpreted by dividing by 100.
1340	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.6 Semantic Interpretation of `color(...)`	- If a component is spelled as a number, it MUST be in `[0,1]` and is interpreted as-is.
1344	Codex Language Specification — Version 1.0.0 > 5. Value Literal Catalog > 5.7 Color Values > 5.7.6 Semantic Interpretation of `color(...)`	- Each of `x`, `y`, and `z` MUST be finite and MUST satisfy `>= 0`.
